寿司,sushi,스시
ラーメン,noodle,라멘
魚介料理・海鮮料理,fish,해산물
海鮮丼,fish,해물덮밥
うなぎ,fish,장어
おでん,fish,오뎅
とんかつ,beef,돈까스
そば,noodle,소바
汁なし担々麺,noodle,국물 없는 탄탄면
西洋各国料理（その他）,default,서양요리
ジンギスカン,beef,징기스칸
カレーライス,default,카레
洋食,default,양식
定食・食堂,default,정식
ケーキ,dessert,케이크
ステーキ,beef,스테이크
和菓子,dessert,화과자
天ぷら,default,튀김
天ぷら・揚げ物（その他）,default,튀김
天ぷら・揚げ物,default,튀김
パン,dessert,빵
甘味処,dessert,화과자
和菓子,dessert,화과자
オムライス,default,오므라이스
うどん,noodle,우동
その他,default,기타
つけ麺,noodle,츠케멘
お好み焼き,default,오코노미야키
クレープ,dessert,크레이프
コロッケ・フライ,default,고로케
カフェ,cafe,카페
串焼き,default,꼬치